IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
35.93.141.75,443,443,true,PDX,North America,US,Portland,323,7.88
35.93.154.20,443,443,true,PDX,North America,US,Portland,346,7.88
18.221.181.155,443,443,true,YYZ,North America,CA,Toronto,238,7.87
35.93.144.19,443,443,true,PDX,North America,US,Portland,380,7.87
54.245.155.49,443,443,true,SEA,North America,US,Seattle,249,7.87
3.14.5.101,443,443,true,YYZ,North America,CA,Toronto,225,7.87
35.90.246.86,443,443,true,PDX,North America,US,Portland,234,7.87
18.224.1.54,443,443,true,YYZ,North America,CA,Toronto,244,7.86
52.40.102.162,443,443,true,SEA,North America,US,Seattle,376,7.86
98.82.153.6,2096,443,true,IAD,North America,US,Ashburn,301,7.86
18.118.194.105,443,443,true,YYZ,North America,CA,Toronto,413,7.85
34.219.10.156,443,443,true,PDX,North America,US,Portland,251,7.85
35.165.228.165,443,443,true,PDX,North America,US,Portland,370,7.85
34.217.109.194,443,443,true,PDX,North America,US,Portland,379,7.85
44.221.89.156,443,443,true,IAD,North America,US,Ashburn,310,7.85
44.212.96.180,443,443,true,IAD,North America,US,Ashburn,402,7.85
54.166.213.213,2053,443,true,IAD,North America,US,Ashburn,318,7.85
3.144.185.161,443,443,true,YYZ,North America,CA,Toronto,286,7.85
3.133.91.245,443,443,true,YYZ,North America,CA,Toronto,295,7.85
18.118.30.188,8443,443,true,ORD,North America,US,Chicago,291,7.84
99.79.195.241,443,443,true,YUL,North America,CA,Montréal,281,7.84
204.110.220.183,80,443,true,SJC,North America,US,San Jose,211,7.84
18.118.13.223,443,443,true,YYZ,North America,CA,Toronto,239,7.84
18.237.76.16,443,443,true,PDX,North America,US,Portland,233,7.83
3.236.249.153,443,443,true,IAD,North America,US,Ashburn,291,7.83
34.215.169.157,443,443,true,PDX,North America,US,Portland,238,7.83
98.83.43.30,443,443,true,IAD,North America,US,Ashburn,319,7.83
47.128.227.117,443,443,true,SIN,Asia Pacific,SG,Singapore,252,7.83
18.221.15.87,443,443,true,YYZ,North America,CA,Toronto,255,7.82
3.94.99.117,443,443,true,IAD,North America,US,Ashburn,280,7.82
3.230.207.59,2087,443,true,IAD,North America,US,Ashburn,266,7.82
35.94.28.62,443,443,true,PDX,North America,US,Portland,384,7.82
34.213.78.124,443,443,true,PDX,North America,US,Portland,231,7.82
52.14.151.164,443,443,true,YYZ,North America,CA,Toronto,311,7.82
34.219.127.153,443,443,true,PDX,North America,US,Portland,451,7.82
67.226.221.220,80,443,true,SJC,North America,US,San Jose,419,7.82
67.226.221.161,80,443,true,SJC,North America,US,San Jose,578,7.81
52.42.51.77,443,443,true,SEA,North America,US,Seattle,273,7.81
44.244.21.52,443,443,true,SEA,North America,US,Seattle,246,7.81
34.219.177.149,443,443,true,PDX,North America,US,Portland,400,7.80
67.226.221.5,80,443,true,SJC,North America,US,San Jose,278,7.80
18.192.135.183,443,443,true,FRA,Europe,DE,Frankfurt,189,7.80
67.226.221.215,80,443,true,SJC,North America,US,San Jose,219,7.80
3.141.35.216,8443,443,true,YYZ,North America,CA,Toronto,258,7.80
18.118.85.166,443,443,true,YYZ,North America,CA,Toronto,315,7.80
35.86.82.245,443,443,true,PDX,North America,US,Portland,291,7.79
34.220.146.113,443,443,true,PDX,North America,US,Portland,274,7.79
35.86.101.136,443,443,true,PDX,North America,US,Portland,314,7.79
54.190.156.147,8443,443,true,SEA,North America,US,Seattle,271,7.79
35.86.89.125,443,443,true,PDX,North America,US,Portland,302,7.79
3.231.228.109,443,443,true,IAD,North America,US,Ashburn,364,7.78
35.93.250.121,443,443,true,PDX,North America,US,Portland,278,7.78
98.80.105.227,443,443,true,IAD,North America,US,Ashburn,340,7.78
18.220.132.239,443,443,true,YYZ,North America,CA,Toronto,235,7.77
18.221.109.202,443,443,true,YYZ,North America,CA,Toronto,253,7.77
44.222.198.63,443,443,true,IAD,North America,US,Ashburn,257,7.77
3.145.32.60,443,443,true,YYZ,North America,CA,Toronto,437,7.77
18.134.14.28,443,443,true,LHR,Europe,GB,London,275,7.77
35.91.110.64,443,443,true,PDX,North America,US,Portland,232,7.77
67.226.221.87,80,443,true,SJC,North America,US,San Jose,581,7.77
34.219.17.213,443,443,true,PDX,North America,US,Portland,315,7.76
3.146.145.210,443,443,true,ORD,North America,US,Chicago,242,7.76
3.144.39.47,443,443,true,YYZ,North America,CA,Toronto,408,7.76
54.189.149.30,443,443,true,SEA,North America,US,Seattle,246,7.76
18.133.193.82,443,443,true,LHR,Europe,GB,London,235,7.75
67.226.221.129,80,443,true,SJC,North America,US,San Jose,420,7.75
18.216.235.183,443,443,true,YYZ,North America,CA,Toronto,364,7.75
3.144.182.214,443,443,true,YYZ,North America,CA,Toronto,297,7.75
52.25.9.240,443,443,true,SEA,North America,US,Seattle,407,7.75
3.230.207.59,8443,443,true,IAD,North America,US,Ashburn,262,7.74
18.219.70.161,443,443,true,YYZ,North America,CA,Toronto,320,7.74
18.192.62.218,443,443,true,FRA,Europe,DE,Frankfurt,268,7.74
3.142.53.42,443,443,true,YYZ,North America,CA,Toronto,277,7.74
35.86.140.113,443,443,true,PDX,North America,US,Portland,299,7.74
34.210.57.125,443,443,true,PDX,North America,US,Portland,246,7.73
44.221.62.255,443,443,true,IAD,North America,US,Ashburn,275,7.73
3.142.52.20,443,443,true,YYZ,North America,CA,Toronto,247,7.73
3.236.250.144,443,443,true,IAD,North America,US,Ashburn,241,7.73
44.211.117.120,443,443,true,IAD,North America,US,Ashburn,372,7.73
44.197.115.44,443,443,true,IAD,North America,US,Ashburn,327,7.73
44.221.46.224,443,443,true,IAD,North America,US,Ashburn,379,7.72
44.200.93.197,443,443,true,IAD,North America,US,Ashburn,339,7.71
52.42.51.77,443,443,true,SEA,North America,US,Seattle,230,7.71
3.237.42.18,443,443,true,IAD,North America,US,Ashburn,355,7.71
3.145.68.32,443,443,true,YYZ,North America,CA,Toronto,229,7.71
54.245.36.95,443,443,true,SEA,North America,US,Seattle,231,7.70
35.87.3.247,443,443,true,PDX,North America,US,Portland,209,7.70
34.219.152.42,443,443,true,PDX,North America,US,Portland,425,7.70
35.179.144.131,443,443,true,LHR,Europe,GB,London,390,7.70
34.217.73.192,443,443,true,PDX,North America,US,Portland,374,7.70
67.226.223.171,443,443,true,LHR,Europe,GB,London,396,7.70
35.178.169.40,2096,443,true,LHR,Europe,GB,London,417,7.70
3.133.148.200,443,443,true,YYZ,North America,CA,Toronto,426,7.69
35.179.178.110,443,443,true,LHR,Europe,GB,London,353,7.69
3.128.253.42,2053,443,true,ORD,North America,US,Chicago,318,7.69
34.218.240.115,443,443,true,PDX,North America,US,Portland,400,7.69
51.20.50.91,8880,443,true,ARN,Europe,SE,Stockholm,217,7.67
35.91.88.44,443,443,true,PDX,North America,US,Portland,417,7.66
3.142.151.4,443,443,true,YYZ,North America,CA,Toronto,473,7.66
3.86.85.68,443,443,true,IAD,North America,US,Ashburn,271,7.65
67.226.221.248,80,443,true,SJC,North America,US,San Jose,420,7.65
44.244.35.71,443,443,true,SEA,North America,US,Seattle,429,7.65
